Day;Hour;Activity interval lengths (s)
Sunday;00;292.24;710.027;133.107;8.337;24.4;37.617;66.677;60.877;47.877;110.14;43.203;266.743;160.007;180.283;115.563;114.263;12.877;51.08;31.617;60.057;36.03;131.737;110.413;238.86;51.94;269.387;208.203;292.957;13.067;44.447;49.62;46.17;98.733;20.72;51.783;55.243;56.323;199.74;55.137;22;262.55;267.02;326.777;1388.917;60.947;111.453;113.547;60.883;46.887;55.967;43.733;35.19;66.677;31.233;54.703;22.237;17.873;40.777;688.193;57.05;102.247;345.593;108.637;245.727;55.413;46.597;284.453;84.49;56.55;193.202;10.57;149.418;20.633;2.187;36.403;10.373;11.74;66.37;75.687;95.273;91.707;52.753;19.64;59.33;0;36.333;3.823;32.213;83.717;37.237;21.51;83.377
Sunday;01;44.61;698.503;45.567;44.323;2.587;284.847;93.423;27.487;141.683;35.947;16.443;111.98;134.547;88.02;141.493;71.727;236.467;41.767;127.163;280.637;76.03;161.487;326.043;132.567;109.66;0.037;119.43;40.807;1.84;28.233;24.217;67.683;31.09;42.653;59.157;43.613;228.44;36.853;176.293;350.86;176.283;109.677;26.45;43.48;28.993;58.78;97.873;33.727;39.623;7.173;72.117;15.873;79.39;10.223;2240.944;444.898;148.723;57.757;176.997;120.06;105.823;172.1;28.1;3.943;224;240.903;172.12;162.117;25.067;195.08;74.08;17.073;115.167;36.807;0;435.651;416.137;11.057;14.013;11.307;13.973;24.427;25.76;29.153;26.423;30.487;115.787;16.32;34.153;93.563;5.49;12.287
Sunday;02;532.567;20.843;165.923;276.383;303.723;288.08;178.263;56.527;76.79;57.79;49.053;22.053;14.33;147.55;69.613;411.45;48.83;191.273;44.73;97.11;62.52;197.993;15.653;109.81;45.253;17.33;40.99;32.35;16.09;42.377;20.423;16.853;1.757;22.14;4.17;19.233;3.533;38.32;50.35;18.763;15.843;300.713;71.123;82.72;964.837;56.917;36.563;97.67;33.563;58.943;71.367;58.053;12.247;16.763;63.133;21.653;4.783;8.473;739.561;177.447;50.49;0.553;110.923;93.873;243.977;174.833;45.833;10.127;40.127;1.297;170.557;44.637;35.71;44.74;33.803;64.907;2.62;23.083;35.143;55.887;48.297;56.567;60.993;54.247;105.58;30.993;55.58;52.64
Sunday;03;44.063;163.323;81.587;329.847;176.093;4.093;37.357;161.403;46.65;42.667;109.943;19.007;48.207;123.483;159.747;60.013;63.273;166.577;71.253;317.777;416.143;30.24;37.103;448.893;216.333;25.713;67.807;39.14;10.98;67.467;24.577;53.143;49.283;28.84;38.623;38.903;18.06;5.56;116.307;50.68;43.2;525.987;524.43;179.183;237.013;102.78;114.89;477.927;43.29;54.86;59.383;19.087;33.193;49.993;8.09;58.223;60.19;236.87;35.933;24.66;15.66;142.083;56.147;112.173;42.237;75.233;163.59;46.14;6.447;60.073;91.723;13.087;230.497;3.877;28.253;6.523;28.78
Sunday;04;466.803;283.083;67.343;48.623;234.883;145.163;31.163;147.44;362.78;98.98;6.26;13.26;92.8;72.863;388.99;61.37;120.797;15.86;167.27;61.123;119.217;32.533;113.627;81.99;57.353;77.45;112.797;36.473;11.07;91.38;20.597;71.057;22.603;240.013;92.487;21.373;54.72;27.147;78.573;48.95;36.027;76.133;914.95;111.387;46.45;362.36;309.06;142.453;344.367;59.68;37.93;17.013;173.897;41.373;13.47;13;56.07;13.353;10.75;546.264;178.843;273.25;1049.577;563.763;0;126.997;0.737;125.747;19.88;51.88;30.97;1.933;239.757;23.82;37.037;59.097;57.627;54.07;8.397;53.06;21.693;39.603;49.973;17.307;52.687;9.003;16.397;57.7;6.35;55.657;47.16;43.6;3.58;119.5;26.563;65.07;20.593;276.087;18.557;8.983
Sunday;05;49.173;430.743;10.807;96.007;53.253;122.533;167.597;98.8;17.083;0.083;175.37;109.71;58.163;212.417;116.893;48.937;17.303;53.697;38.143;1142.007;5.65;99.76;50.093;29.503;12.603;157.983;56.013;81.423;6.82;20.913;177.297;43.693;51.79;115.207;57.963;61.603;19.057;104.483;221.923;118.38;135.82;88.913;58.337;11.713;172.14;449.113;48.553;23.25;55.52;13.513;15.713;17.717;37.763;18.313;54.383;46.073;242.16;9.11;30.94;38.003;113.297;48.33;33.33;25.82;25.447;51.447;4.297;37.513;33.657;41.03;42.277;68.4;0.653;39.993;64.103;56.27;9.877;27.003;7.357;29.673;3.203;19.037;54.42;31.797;4.283;68.88;63.747
Sunday;06;432.913;96.977;56.21;58.273;93.473;100.797;25.797;115.06;226.32;88.583;64.647;107.907;69.123;37.387;188.65;86.71;156.173;294.053;174.903;75.347;80.473;209.183;293.953;170.317;104.713;21.807;467.673;58.007;135.833;111.18;43.243;95.667;31;30.38;113.473;27.773;44.22;24.697;75.103;45.137;21.483;23.983;151.41;20.803;7.193;93.573;355.387;555.037;101.693;299.417;264.873;39.95;97.69;391.193;40.77;9.783;8.053;46.553;55.1;2.647;180.847;0;63.677;31.283;43.07;199.54;243.803;403.113;17.377;288.403;37.383;87.447;21.413;110.477;173.333;91.843;51.867;10.593;25.663;31.93;41.327;33.927;58.033;9.52;11.43;6.403;55.253;58.093
Sunday;07;87.453;56.517;218.027;130.383;13.66;27.66;13.723;60.923;116.983;90.247;44.463;30.557;114.82;71.097;247.36;87.28;254.707;624.857;83.783;51.303;109.197;85.243;43.797;275.693;457.533;66.213;50.01;56.227;18.953;43.113;153.317;120.937;96.347;120.393;246.333;781.06;405.893;622.977;537.203;22.283;32.617;68.343;36.8;55.68;17.647;38.187;43.66;58.713;11.063;52.47;455.163;23.21;115.62;69.713;873.897;46.133;58.093;21.17;667.267;142.273;0;113.923;0;20.923;59.513;66.76;7.21;142.133;0;180.477;171.997;57.703;122.57;561.137;18.463;116.353;102.417;472.747;181.33;47.817;28.713;12.713;14.94;33.047;119.09;54.103;39.21;91.227;56.143;151.08;167.293;42.357;1;1.133;12.707;20.447;34.153;5.153;57.773;17.103;72.517;62.987;156.333;45.3;3.72;43.437;22.94;98.393;27.977;108.337;21.81;73.297;35.163;52.207;16.71;58.103;33.513
Sunday;08;404.46;32.46;39.72;151;42.263;50.263;28.323;153.11;170.373;51.373;303.713;94.93;105.193;30.193;167.227;124.683;21.063;50.46;215.933;11.263;176.69;21.737;52.117;435.987;43.033;53.413;92.473;4.023;29.893;73.207;11.303;68.227;38.95;162.797;44.86;116.283;456.19;350.99;441.09;341.19;467.833;32.95;41.107;364.923;382.157;56.66;96.037;444.19;30.703;60.87;31.39;39.467;38.987;2.8;210.06;1;120.017;0;58.747;0;40.663;121;28.147;260.603;8.517;0;52.057;47.31;45.62;99.637;22.903;164.173;104.187;130.473;54.057;137.347;17.347;50.39;48.39;389.48;25.427;175.567;464.063;37.06;38.06;222.383;337.517;40.533;33.643;1.55;26.713;370.1;10.003;59.067;53.747;180.46;25.87;35.93;46.84;369.167;631.817;69.963;2314.524;402.837;423.91;302.25;0;21.73;74.447;10.343;9.453;50.863;40.79;2.323;38.7;45.793;19.57;106.29;28.353
Sunday;09;346.86;48.14;5.2;66.4;56.663;225.94;9.187;78.203;52.497;548.07;104.393;110.673;122.933;482.05;107.887;71.313;106.407;313.21;0;168.033;125.427;92.553;98.87;65.28;233.77;236.653;43.053;91.147;54.963;56.327;12.767;58.253;47.073;53.12;41.313;537.843;60.41;119.787;111.26;31.307;56.903;21.967;0.53;159.3;292.147;380.87;87.577;83.163;17.29;54.527;27.747;58.683;208.201;25.173;74.22;26.723;34.303;18.357;50.63;45.373;33.42;51.89;365;1.06;44.68;44.933;86.993;120.413;141.493;173.933;46;10.537;0;40.957;74.493;46.073;47.543;69.263;34.54;36.357;41.48;49.75;260.717;59.78;157.807;205.053;32.787;48.787;518.433;36.493;141.663;53.05;40.237;162.297;16.277;163.06;35.57;167.213;242.167;60.123;133.833;109.13;228.16;40.163;68.453;71.827;0;38.577;655.211;248.29;137.417;236.127;91.377;664.503;60;74.08;116.147;40.547;14.063;104.977;117.4
