Day;Hour;Inactivity interval lengths (s)
Sunday;00;117703.29;344.537;485.053;155.34;147.323;132.977;222.917;133.72;68.473;89.223;311.223;186.913;105.707;187.327;129.117;75.76;107.973;112.893;157.663;82.6;115.383;60.323;73.123;70.123;137.86;277.797;81.257;61.993;125.717;108.737;129.123;210.92;60.383;265.943;230.97;131.263;305.587;69.14;214.06;93.613;69.797;107.043;378.387;71.553;255.38;82.83;584.267;69.28;64.217;64.757;344.677;428.26;825.323;99;155.45;96.98;62.223;60.083;130.053;67.547;60.453;68.117;1292.6;1172.137;160.047;229.967;286.707;928.437;116.533;86.167;99.667;211.417;85.167;91.167;98.917;68.917;597.677;69.177;62.927;120.863;168.607;64.98;91.767;75.487;74.193;104.297;72.083;60.263;115830.717;7161.073;5134.947;360.107;180.507;98.28;127.14;50252.303;116724.707;201209.133;115915.293;3155.52;119142.633;27000.543;819.687;3572.007;116778.797;115203.007;983.883;145.267;174.81;1056.323;186.767;159.297;1069.763;116700.817;335.487;253.37;3403.777;741532.943;118803.963;115051.757;62.58;3401.243;261.753;85.387;71.91;1396.353;65.11;247.927;159.437;385.187;515.84;496.417;256.967;545.707;896.243;65201.97;498.833;314.407;116.363;185.273;73.587;77.403;820.547;10857.553;587.813;291.493;300.76;50576.037;547.82;138.45;349.73;97.993;1975.503;135416.58;50549.347;2618.797;343.67;1790.4;936.857;2413.693;265.813;3254.297;71.25;146.053;102.64;120.593;70.44;67.18;99.033;144.837;77.383;163.32;121.173;5283.963;116606.757;78956.54;119138.79;116338.52;50536.66;412.213;291.627;356.26;226.63;327.313;754.727;68.293;464.247;302.36;58155.843;117670.447;84.713;298.667;88.177;219.787;446.283;764.763;521.49;117672.523;1599931.377;913.55;427.707;7189.22;119321.91;227.39;86.87;76.853;223.577;215.5;296.99;225.593;258.513;171.16;158.903;476.647;327.23;131.877;118150.41;223390.683;7868.367;1525.22;909.48;440.557;372.893;202.583;122.267;161.203;103.95;195.89;92.657;81.343;39113.113
Sunday;01;303.047;182.567;486.303;115.67;231.67;90.26;228.197;91.973;287.667;289.437;71.177;69.16;256.113;158.827;115.597;269.39;74.497;681.433;238.677;78.413;148.153;153.577;100.513;145.317;70.053;103.65;70.557;167.02;153.453;99.98;170.507;65.273;79.533;114.233;203.837;104.363;200.97;217.513;67.957;169.157;132.433;180.34;122.963;200.57;119.193;213.16;519.767;355.783;331.317;319.91;61.347;198.843;919.633;991.56;65.147;72.707;65.14;131.717;245.983;498.68;484.107;1194.753;381.37;90.933;118.68;245.68;459.433;196.943;382.88;94.443;287.19;138.937;107.937;80.673;64.42;92.357;68.507;105.29;83.027;169.027;73.44;82.163;90.883;104.867;115.59;155.343;91.05;122.803;134.727;6195.14;77.55;20047.32;968.217;84.22;1113.127;383.273;355.377;471.827;2024.517;1758.387;4821.527;111424.053;291.61;182.443;94.417;14411.89;63.277;135.857;132.613;123.37;159.71;115.47;290.47;498.21;975.653;146.377;252.36;581.117;176.667;89.437;60.003;75.94;68.177;91.9;298.9;76.057;62;68.097;79.88;215.883;105.933;106.92;163.92;246.927;35754.967;7085.587;76.93;64868.39;67.583;110.863;1250.917;64;2058.91;766.41;3793.917;1254.943;471.987;3604.107;109.457;62.397;85.237;174.82;80.82;91.627;75.34;92.34;86.143;223.853;153.657;79.447;82.397;87945.247;1096.903;113066.857;2271.36;277.573;393.24;154.847;90.577;186.513;8090.017;449.68;88.847;599.437;1802.51;82037.65;2991.3;1212.427;91.337;348.017;169.667;419.043;464.683;1323.12;177.583;309.583
Sunday;02;298.28;219.983;210.687;602.357;209.697;159.437;105.18;86.18;66.117;309.907;77.643;61.43;135.417;78.107;160.433;76.157;85.077;119.617;135.277;62.92;125.737;225.473;63.21;71.21;158.947;287.947;136.67;112.45;192.387;133.55;110.17;317.727;144.27;239.89;225.48;166.007;71.347;75.19;103.747;80.67;88.01;648.44;319.91;100.623;346.577;481.147;219.243;116.86;101.83;117.767;505.467;69.68;284.65;105.237;170.287;159.877;62.28;64.163;386.083;84.437;207.33;123.437;230.057;3411.24;74.773;257.303;229.303;95.057;178.807;85.557;197.493;68.977;114.977;228.93;470.74;298.207;62.97;313.67;123.967;163.41;131.133;141.853;128.957;86.697;72.617;62.847;29765.477;53368.033;102470.803;652.777;285.753;1205.237;280.867;659.347;7471.177;177.273;1395.257;7548.647;106.367;1079.273;128.56;332.537;62.067;208.287;317.837;325.817;101.59;130.387;274.323;84.11;251.933;130.553;119.51;70.447;87.077;359.127;126.023;74.167;110.167;78.873;177.873;179.703;120.443;258.363;75.29;147.26;116.197;65.093;68336.847;29526.507;2042.177;96.433;502.207;3984.553;641.38;5066.767;65.443;75.397;97.04;120.04;78.81;106.59;113.373;150.373;146.147;81.887;133.723;109.32;176.257;256.097;670.857;192.113;125.703;483.433;187.007;196.753;331.42;428.007;68.42;27374.193;4562.547;5234.233;573.647;245.073;332.777;377.227;183.93;140.613;169.317;510.003;204.61;197.357
Sunday;03;492.18;60.413;93.413;194.167;153.103;62.83;175.77;169.197;79.133;152.9;361.647;233.313;192.047;99.787;79.773;75.523;129.523;78.937;160.677;93.413;64.153;116.907;83.907;80.643;74.597;78.35;71.333;161.057;133.993;178.793;82.517;156.253;72.96;135.727;110.423;226.747;66.223;90.857;325.76;95.897;85.107;216.667;113.287;81.193;93.86;110.05;174.02;156.533;67.423;132.857;212.717;203.16;445.377;162.097;1505.94;64.633;70.693;77.32;139.8;79.013;62.57;64.817;139.987;126.22;127.11;77.073;61.71;1901.743;290.993;501.717;182.083;437.793;223.4;199.21;259.957;312.677;151.177;63.177;116.91;113.91;184.847;104.597;66.33;96.127;163.033;99.583;241.583;60.467;119.143;60.143;254.897;66.603;166.33;133.017;159.84;73.483;66.243;7134.75;70725.687;74875.357;12190.093;2478.987;1732.93;207.913;71.807;354.007;786.91;3130.483;469.13;907.54;217.827;1416.597;788.437;137.76;269.747;326.373;819.067;105.34;1003.34;64.917;68.853;77.827;165.763;78.767;244.41;777.547;380.533;28998.973;2013.457;684.933;357.417;1177.15;557.307;476.86;13328.72;334.16;112.853;97.703;106.64;70.487;124.27;116.877;117.877;67.627;141.48;357.283;160.073;100.797;80.443;2841.3;452.927;288.277;192.913;359.503;273.123;235.747;92.477;326.22;240.387;383.31;247.82;335.04;565.677;258.037;448.49;102.13;94.88;178.88;1072.58
Sunday;04;208.223;283.027;116.737;111.437;60.13;174.067;76.837;194.503;135.037;253.037;380.497;139.197;173.917;133.657;127.377;96.117;89.837;154.837;60.56;83.22;174.02;107.74;451.74;108.2;76.137;119.01;121.63;165.203;74.14;482.73;61.877;88.783;67.467;160.373;123.01;104.647;68.55;265.203;169.527;178.93;694.037;160.62;291.403;339.943;182.397;89.987;763.513;127.627;334.28;163.853;132.427;144.447;165.973;173.867;69.05;135.613;60.55;113.64;98.94;381.547;6870.99;224.393;195.187;523.9;551.303;901.807;382.06;466.567;347.257;71.81;93.81;62.547;334.547;72.977;314.977;70.46;62.437;109.16;60.897;135.31;226.017;61.737;71.183;88.533;5926.903;246.107;1340.877;121326.023;2176.487;264.32;1190.07;1216.617;199.103;711.627;229.53;970;2037.327;73747.74;103001.04;9382.24;244.46;88.157;63.75;62.643;73.837;72.347;65.493;1721.717;1520.653;421.553;658.263;402.253;69.12;271.12;601.03;61.067;97.243;143.18;60.963;63.903;1870.183;1615.107;94.607;97215.453;2689.613;1743.343;792.603;2092.94;129.407;315.217;141.807;87.607;61.37;96.307;106.16;111.097;120.853;60.707;84.51;100.463;95.107;8422.407;224.027;431.693;232.313;406.997;183.603;99274.397;315.343;137.84;722.4;304.42;154.5;237.437;100.93;86.407;343.913;112.443;121446.96;121329.303;236.813;77.43;97.14;142.123;146.85;113.85;323.567;152.23;81.957;89.957;235.217;171.883;322.87;142.453;89.18;157.957;129.893;91.68;11923.513;230.073;446.777;573.17;295.537;146.223;1103.223;457.95;194.337;73.04
Sunday;05;178.48;112.207;276.017;184.78;189.5;65.213;201.213;228.91;357.617;80.083;172.083;77.843;123.843;109.287;71.827;113.827;110.257;145.193;67.993;179.747;74.467;142.403;103.2;180.917;127.917;71.63;304.29;77.837;186.583;71.107;164.063;248.697;324.303;65.857;176.993;141.35;131.24;151.907;95.497;591.197;84.397;64.017;280.987;175.577;160.18;64.087;137.703;129.307;187.21;425.793;180.807;282.397;137.943;80.517;183.077;166.62;93.18;182.087;230.663;69.287;275.86;193.887;1096.6;135.657;104.453;75.407;118.22;94.22;197.937;171.67;115.153;119.153;60.107;146.887;139.067;83.82;119.543;61.97;62.337;63.797;80.487;81.977;4809.217;3448.447;1135.48;1675.353;2278.287;143.283;344.237;307.687;3488.347;335.453;255.323;101.927;1507.93;2406.787;629.113;245.787;337.467;1038.063;552.117;707.647;188.96;2563.157;82.06;187.997;72.703;87.67;456.67;818.18;69.553;7084.487;1773.327;548.707;500.23;1528.783;428.063;599.133;203.703;1597.487;24544.96;67.963;74.687;91.473;62.427;98.203;142.04;117.847;112.847;62.64;77.64;189.447;212.04;136.813;71.767;119.617;116.617;319.073;899.723;180.6;141.347;177.007;669.897;292.73;153.123;234.997;212.643;191.327;238.907;464.797;913.963;89.58;418.203;355.717;359.12;610.253;5592.647;133;90.74;259.727;62.387;127.323;95.083;243.78;99.43;270.367;123.427;61.127;351.127;376.767;450.207;86.847;429.597;147.237;60.98;81.933;712.683
Sunday;06;373.95;404.643;63.107;67.797;448.473;111.92;181.843;113.35;60.35;138.287;216.08;371.82;84.087;125.023;62.79;87.727;80.527;156.203;125.203;76.94;92.68;116.417;194.353;172.093;83.877;174.613;94.35;266.29;369.947;106.097;160.653;93.527;249.817;71.047;77.683;159.287;136.193;62.327;89.993;69.167;77.82;206.757;90.333;271;68.62;92.527;258.227;398.78;105.303;75.897;99.863;338.517;211.017;221.59;657.717;87.807;67.427;109.613;200.963;63.307;98.583;81.127;264.05;92.31;1125.863;1275.713;220.563;164.293;126.49;270.427;112.99;252.99;268.727;67.477;118.413;191.197;160.683;67.417;63.417;486.357;140.897;149.66;62.48;73.957;144.757;135.923;94.643;73.32;88.103;79.797;133.423;197.423;3066.093;636.6;28022.94;1379.23;1803.53;1524.947;2300.83;360.9;2228.33;1430.16;1631.773;1265.577;210.297;2191.717;5053.987;514.983;131.287;421.297;152.017;120.867;107.703;162.687;200.497;198.433;113.287;177.027;205.01;118.597;153.597;68.4;86.673;1189.49;526.507;211.027;1224.967;79.197;223.887;73.623;83.597;93.617;98.553;70.587;68.523;269.667;324.38;1965.153;946.487;3452.847;88.703;125.213;107.067;156.02;112.42;94.227;60.017;66.953;79.81;74.6;103.6;172.403;124.403;99.177;129.177;101.963;6397.997;336.7;2145.337;320.07;450.673;245.487;292.967;593.48;780.57;428.597;1030.747;10909.233;105.947;75.897;294.587;170.277;113.95;499.653;378.037;253.74
Sunday;07;266.167;258.897;270.627;221.133;104.863;98.603;123.353;146.353;380.077;204.537;164.233;68.17;64.547;144.483;292.973;167.617;93.34;107.34;60.277;64.077;211.017;137.753;89.537;127.443;110.18;114.903;111.64;107.72;101.293;278.143;130.217;131.697;96.803;137.757;329.203;86.307;128.467;720.717;311.787;125.99;283.773;137.047;209.887;1027.683;145.063;60.653;227.607;64.667;138.94;163.107;127.023;158.797;1659.803;354.083;525.777;182.17;322.907;216.627;226.34;81.09;367.09;67.577;360.327;216.063;96.733;175.523;301.463;240.213;138.027;123.753;95.447;72.983;101.72;104.72;65.457;138.917;109.347;106.02;101.743;16228.487;387.283;1248.06;86836.397;7947.837;730.2;26641.503;1147.897;4560.567;87995.457;687.353;7995.71;727.34;7274.147;851.77;20773.843;1699.937;97.837;65.79;232.38;172.287;8352.003;1227.593;2310.013;2236.867;99.907;98.123;4566.197;647.723;61.727;27633.507;161.17;303.077;56772.557;57070.637;4137.57;60.783;3880.483;235.487;6218.463;185.79;109.377;61.617;6045.017;70.523;425.003;208.53;1795.943;608.537;79.647;173.667;1947.967;102.183;4085.477;1830.483;593.457;706.96;1003.493;316.737;262.35;479.963;453.467;108.287;950.287;147.06;61.953;126.91;80.897;89.79;245.773;149.857;74.92;77.707;178.643;2895.233;1086.12;1559.44;874.187;620.48;630.87;1558.45;704.293;871.553;175.847;1643.883;938.46;11215.757;202.95;124.753;173.557;98.497;138.3;83.09;168.743;111.483;298.337;72.123;161.123;111.85;607.07;285.227;410.897;1146.483;145.013;680.667;3802.16;440.647;280.563;143.06;516.607;73.023;280.663;289.19;448.703;68.837;346.793;123.29;147.897;80.333;129.333;446.057;93.37;94.083;178.067;108.8;484.8;351.173;73.857;1274.817
Sunday;08;469.653;64.29;180.083;124.793;83.503;97.44;230.22;85.947;83.883;148.61;113.4;113.123;77.06;79.837;156.537;224.537;148.54;142.54;272.28;78;70.737;91.737;572.677;70.89;69.627;119.627;147.287;75.07;90.807;154.807;195.23;237.773;160.317;191.937;207.54;169.067;65.737;159.31;128.263;108.883;77.013;127.967;89.587;335.527;1144.687;393.977;107.107;109.793;294.697;142.773;200.05;76.203;306.14;72.81;102.01;81.91;76.81;692.167;79.05;119.893;115.077;1564.297;1276.44;1435.24;170.017;73.767;80.767;181.5;225.263;98.967;67.687;164.167;133.167;87.92;316.857;78.39;228.39;180.143;139.097;87822.683;71.437;86.437;70.08;88.817;15969.417;8487.537;57548.34;86724.643;64.67;205.34;165.963;211.64;148.297;1087.11;391.13;80.61;263.533;37919.25;64.977;61.95;2584.983;189.457;849.253;1166.157;1939.967;182.383;1562.373;2391.427;142.337;92.087;75.853;112.707;43677.1;86.217;69.237;33376.74;1116.41;89.53;276.513;79101.477;1820.46;134.943;195.69;81.38;98.363;137.097;77.827;78.813;1814.52;2545.25;88112.473;16577.7;248.003;213.783;477.557;160.317;111.087;162.027;82.87;555.807;499.347;345.723;163.653;69.653;72.61;92.61;336.52;66.573;77.433;83.937;82.94;78.94;84.617;80.483;4964.117;9199.947;1114.877;1560.927;229.66;11987.51;1266.357;337.743;1465.46;976.277;654.427;64.463;186.43;142.153;222.007;169.793;168.59;150.363;117.107;91.963;169.917;77.557;74.36;60.36;143.313;1242.52;67.287;41431.343;1803.423;4474.983;490.933;544.253;398.54;870.13;87530.773;196.053;64.44;296.773;123.363;190.087;206.847;111.127;98.283;65.27;412.553;232.657;191.547;504.137;420.21;82.677;136.3;706.207;135.43;152.71;397.987;109.68;126.423;418.407;532.82;131.44;154.13;180.887;167.87;188.593;231.297;85.203;236.943;141.63;4856.517;687.293;1453.417
Sunday;09;174.78;83.717;131.493;230.24;185.16;271.677;168.357;280.087;391.747;76.237;92.237;200.943;72.14;236.86;175.8;124.6;137.337;171.06;102.813;68.797;237.503;137.93;130.607;180.327;78.067;255.95;291.113;74.687;109.593;113.79;133.393;116.967;149.573;82.447;115.13;189.72;65.787;138.347;149.947;550.853;184.037;229.673;243.233;557.747;67.927;622.88;483.157;61.59;130.213;88.74;64.693;160.097;301.033;82.47;69.7;103.853;154.13;268.423;1521.633;85.243;120.18;1159.967;528.853;92.83;99.577;67.577;328.53;71.837;113.837;138.59;60.59;321.327;119.997;142.803;76.537;99.473;180.27;113.017;48174.527;11653.363;79232.47;2444.173;8045.18;93.473;2539.427;128.317;10760.943;106.827;94.78;509.277;403.697;977.643;739.37;87.627;129.58;127.14;908.58;61.307;1902.307;1126.357;721.737;7591.407;257.573;257.32;154.067;242.007;99.587;80.507;381.633;351.887;5022.573;1529.993;227.043;255.507;134.927;124.457;83.437;210.22;256.883;72.277;41987.013;1536.737;16339.85;623.643;8354.203;11424.62;137.6;136.347;76.267;61.283;83.22;156.193;88.947;71.213;265.213;144.567;160.507;127.337;140.95;78.763;465.703;646.03;418.047;1170.753;3390.06;107.433;294.207;420.987;129.05;123.903;61.69;109.493;68.087;192.04;99.68;79.68;90.453;70.26;176.07;104.86;447.847;379.43;255.98;66.027;617.66;73.043;1469.84;3244.67;29122.027;29528.13;21580.607;6006.057;1612.467;100.587;1686.397;112.26;64.4;1258.897;1094.36;90.877;315.623;100.35;120.1;1074.963;549.92;866.853;348.453;440.937;63.023;107.6;246.127;420.903;125.197;244.697;1670.607;519.61;1671.977;239.4;141.16;236.86;108.57;146.57;122.29;410.44;426.907;112.28
